geo_level,geo_code,geo_version,name,variable,number
district,244,,Alfred Nzo,Clinical Associates,1.4
district,244,,Alfred Nzo,Dental practitioners,1.3
district,244,,Alfred Nzo,Dental specialists,
district,244,,Alfred Nzo,Dental therapists,
district,244,,Alfred Nzo,Enrolled nurses,33.6
district,244,,Alfred Nzo,Environmental health practitioners per 100 000 population,0.1
district,244,,Alfred Nzo,Medical practitioners,10.4
district,244,,Alfred Nzo,Medical researchers,
district,244,,Alfred Nzo,Medical specialists,
district,244,,Alfred Nzo,Nursing assistants,68.6
district,244,,Alfred Nzo,Occupational therapists,0.5
district,244,,Alfred Nzo,Pharmacists,4.1
district,244,,Alfred Nzo,Physiotherapists,1.5
district,244,,Alfred Nzo,Professional nurses,104.4
district,244,,Alfred Nzo,Psychologists,
district,244,,Alfred Nzo,Radiographers,2.2
district,244,,Alfred Nzo,Student nurses,
district,525,,Amajuba,Clinical Associates,2.8
district,525,,Amajuba,Dental practitioners,1.5
district,525,,Amajuba,Dental specialists,
district,525,,Amajuba,Dental therapists,1.1
district,525,,Amajuba,Enrolled nurses,82.6
district,525,,Amajuba,Environmental health practitioners per 100 000 population,0.6
district,525,,Amajuba,Medical practitioners,44.7
district,525,,Amajuba,Medical researchers,0.2
district,525,,Amajuba,Medical specialists,2.2
district,525,,Amajuba,Nursing assistants,69.4
district,525,,Amajuba,Occupational therapists,2.4
district,525,,Amajuba,Pharmacists,9
district,525,,Amajuba,Physiotherapists,3.7
district,525,,Amajuba,Professional nurses,163.5
district,525,,Amajuba,Psychologists,0.9
district,525,,Amajuba,Radiographers,6.3
district,525,,Amajuba,Student nurses,8.3
district,212,,Amathole,Clinical Associates,1.9
district,212,,Amathole,Dental practitioners,2.5
district,212,,Amathole,Dental specialists,
district,212,,Amathole,Dental therapists,0.3
district,212,,Amathole,Enrolled nurses,40.9
district,212,,Amathole,Environmental health practitioners per 100 000 population,0.4
district,212,,Amathole,Medical practitioners,10.8
district,212,,Amathole,Medical researchers,
district,212,,Amathole,Medical specialists,0.1
district,212,,Amathole,Nursing assistants,74.6
district,212,,Amathole,Occupational therapists,1.8
district,212,,Amathole,Pharmacists,8.3
district,212,,Amathole,Physiotherapists,1.9
district,212,,Amathole,Professional nurses,147.6
district,212,,Amathole,Psychologists,0.2
district,212,,Amathole,Radiographers,3.8
district,212,,Amathole,Student nurses,
district,637,,Bojanala,Clinical Associates,0.1
district,637,,Bojanala,Dental practitioners,1.5
district,637,,Bojanala,Dental specialists,
district,637,,Bojanala,Dental therapists,0.1
district,637,,Bojanala,Enrolled nurses,19
district,637,,Bojanala,Environmental health practitioners per 100 000 population,1.1
district,637,,Bojanala,Medical practitioners,18.2
district,637,,Bojanala,Medical researchers,
district,637,,Bojanala,Medical specialists,1.5
district,637,,Bojanala,Nursing assistants,50.3
district,637,,Bojanala,Occupational therapists,1.2
district,637,,Bojanala,Pharmacists,5.8
district,637,,Bojanala,Physiotherapists,2.1
