geo_level,geo_code,geo_version,name,variable_1,variable_2,value
county,42,,Kisumu,Compensation for User Fee Foregone,Annual Budget Allocation,21.30
county,42,,Kisumu,Compensation for User Fee Foregone,Actual receipts,0.00
county,42,,Kisumu,Compensation for User Fee Foregone,Annual CARA Allocation,21.30
county,42,,Kisumu,Conditional Grants to Level-5 Hospitals,Annual CARA Allocation,369.02
county,42,,Kisumu,Conditional Grants to Level-5 Hospitals,Actual receipts,163.84
county,42,,Kisumu,Conditional Grants to Level-5 Hospitals,Annual Budget Allocation,369.02
county,42,,Kisumu,Leasing of Medical Equipment,Actual receipts,0.00
county,42,,Kisumu,Leasing of Medical Equipment,Annual Budget Allocation,0.00
county,42,,Kisumu,Leasing of Medical Equipment,Annual CARA Allocation,131.91
county,42,,Kisumu,Rehabilitation of Village Polytechnics,Annual CARA Allocation,41.67
county,42,,Kisumu,Rehabilitation of Village Polytechnics,Actual receipts,0.00
county,42,,Kisumu,Rehabilitation of Village Polytechnics,Annual Budget Allocation,41.65
county,42,,Kisumu,Road Maintenance Fuel Levy Fund,Actual receipts,0.00
county,42,,Kisumu,Road Maintenance Fuel Levy Fund,Annual CARA Allocation,194.06
county,42,,Kisumu,Road Maintenance Fuel Levy Fund,Annual Budget Allocation,181.88
county,47,,Nairobi,Compensation for User Fee Foregone,Annual Budget Allocation,79.42
county,47,,Nairobi,Compensation for User Fee Foregone,Actual receipts,0.00
county,47,,Nairobi,Compensation for User Fee Foregone,Annual CARA Allocation,79.42
county,47,,Nairobi,Leasing of Medical Equipment,Annual Budget Allocation,0.00
county,47,,Nairobi,Leasing of Medical Equipment,Annual CARA Allocation,131.91
county,47,,Nairobi,Leasing of Medical Equipment,Actual receipts,0.00
county,47,,Nairobi,Rehabilitation of Village Polytechnics,Annual CARA Allocation,23.00
county,47,,Nairobi,Rehabilitation of Village Polytechnics,Actual receipts,0.00
county,47,,Nairobi,Rehabilitation of Village Polytechnics,Annual Budget Allocation,23.00
county,47,,Nairobi,Road Maintenance Fuel Levy Fund,Annual Budget Allocation,451.90
county,47,,Nairobi,Road Maintenance Fuel Levy Fund,Actual receipts,0.00
county,47,,Nairobi,Road Maintenance Fuel Levy Fund,Annual CARA Allocation,451.90
