geo_code,geo_level,geo_version,name,variable,value
244,district,,Alfred Nzo,2008,3.5
525,district,,Amajuba,2008,2.5
212,district,,Amathole,2008,3.2
637,district,,Bojanalam,2008,19.7
292,district,,Buffalo City,2008,30.3
102,district,,Cape Winelands,2008,17.5
935,district,,Capricorn,2008,3.8
105,district,,Central Karoo,2008,6.2
213,district,,Chris Hani,2008,7.7
191,district,,City of Cape Town,2008,20.8
798,district,,City of Johannesburg,2008,10.3
799,district,,City of Tshwane,2008,38.4
640,district,,Dr Kenneth Kaunda,2008,44.9
639,district,,Dr Ruth Segomotsi Mompati,2008,2.6
EC,province,,Eastern Cape,2008,8.8
832,district,,Ehlanzeni,2008,7.2
797,district,,Ekurhuleni,2008,27.4
595,district,,eThekwini,2008,10.1
420,district,,Fezile Dabi,2008,38.2
309,district,,Frances Baard,2008,15.6
FS,province,,Free State,2008,16.2
3453,district,,Garden Route,2008,29.9
GT,province,,Gauteng,2008,21.2
830,district,,Gert Sibande,2008,14.8
3065,district,,Harry Gwala,2008,10
529,district,,iLembe,2008,5
214,district,,Joe Gqabi,2008,2.6
345,district,,John Taolo Gaetsewe,2008,9.8
3084,district,,King Cetshwayo,2008,0.2
KZN,province,,KwaZulu-Natal,2008,7.2
418,district,,Lejweleputswa,2008,4.9
LIM,province,,Limpopo,2008,7.6
494,district,,Mangaung,2008,25.5
933,district,,Mopani,2008,3.7
MP,province,,Mpumalanga,2008,14.7
306,district,,Namakwa,2008,9.8
293,district,,Nelson Mandela Bay,2008,21.7
638,district,,Ngaka Modiri Molema,2008,11.8
831,district,,Nkangala,2008,25.3
NW,province,,North West,2008,19.3
NC,province,,Northern Cape,2008,15.8
215,district,,O.R.Tambo,2008,4.9
103,district,,Overberg,2008,29.5
307,district,,Pixley ka Seme,2008,24.7
1014,district,,Sarah Baartman,2008,5.1
742,district,,Sedibeng,2008,6.6
947,district,,Sekhukhune,2008,9.3
ZA,country,,South Africa,2008,14.3
9361,district,,Thabo Mofutsanyana,2008,7.1
521,district,,Ugu,2008,4.2
522,district,,Umgungundlovu,2008,14.6
527,district,,Umkhanyakude,2008,0.7
524,district,,Umzinyathi,2008,11.5
523,district,,Uthukela,2008,0.6
934,district,,Vhembe,2008,12
936,district,,Waterberg,2008,11.6
101,district,,West Coast,2008,34.9
748,district,,West Rand,2008,26.8
WC,province,,Western Cape,2008,22.2
416,district,,Xhariep,2008,3.6
308,district,,Z F Mgcawu,2008,19.9
526,district,,Zululand,2008,4.8
244,district,,Alfred Nzo,2010,1.7
525,district,,Amajuba,2010,3.1
212,district,,Amathole,2010,1.6
637,district,,Bojanalam,2010,14.9
292,district,,Buffalo City,2010,38.1
102,district,,Cape Winelands,2010,10.9
935,district,,Capricorn,2010,2.2
105,district,,Central Karoo,2010,5.9
213,district,,Chris Hani,2010,9.4
191,district,,City of Cape Town,2010,20.3
798,district,,City of Johannesburg,2010,12.2
799,district,,City of Tshwane,2010,35.2
640,district,,Dr Kenneth Kaunda,2010,21.4
639,district,,Dr Ruth Segomotsi Mompati,2010,1.7
EC,province,,Eastern Cape,2010,10.1
832,district,,Ehlanzeni,2010,6.4
797,district,,Ekurhuleni,2010,29.5
595,district,,eThekwini,2010,11.8
420,district,,Fezile Dabi,2010,39.2
309,district,,Frances Baard,2010,15.9
FS,province,,Free State,2010,18
3453,district,,Garden Route,2010,16.4
GT,province,,Gauteng,2010,21.8
830,district,,Gert Sibande,2010,19.3
3065,district,,Harry Gwala,2010,15.8
529,district,,iLembe,2010,4.6
214,district,,Joe Gqabi,2010,2.6
345,district,,John Taolo Gaetsewe,2010,6.8
3084,district,,King Cetshwayo,2010,0.6
KZN,province,,KwaZulu-Natal,2010,9
418,district,,Lejweleputswa,2010,5.1
LIM,province,,Limpopo,2010,7.2
494,district,,Mangaung,2010,23.4
933,district,,Mopani,2010,2.9
MP,province,,Mpumalanga,2010,14.5
306,district,,Namakwa,2010,5.9
293,district,,Nelson Mandela Bay,2010,19
638,district,,Ngaka Modiri Molema,2010,3.1
831,district,,Nkangala,2010,20.8
NW,province,,North West,2010,10.4
NC,province,,Northern Cape,2010,14
215,district,,O.R.Tambo,2010,4.4
103,district,,Overberg,2010,35.1
307,district,,Pixley ka Seme,2010,28.8
1014,district,,Sarah Baartman,2010,10.2
742,district,,Sedibeng,2010,12.9
947,district,,Sekhukhune,2010,13.4
ZA,country,,South Africa,2010,14.2
9361,district,,Thabo Mofutsanyana,2010,7.7
521,district,,Ugu,2010,4.1
522,district,,Umgungundlovu,2010,25
527,district,,Umkhanyakude,2010,3
524,district,,Umzinyathi,2010,7.5
523,district,,Uthukela,2010,1.1
934,district,,Vhembe,2010,8.8
936,district,,Waterberg,2010,10.7
101,district,,West Coast,2010,32.9
748,district,,West Rand,2010,21.3
WC,province,,Western Cape,2010,19.8
416,district,,Xhariep,2010,4.1
308,district,,Z F Mgcawu,2010,13.8
526,district,,Zululand,2010,5.9
244,district,,Alfred Nzo,2011,1.7
