table_name,country_code,link,title
population_by_gender_ke,KE,https://open.africa/dataset/2019-kenya-population-and-housing-census/resource/d0c95fee-9d00-453a-b343-7c195e81b9f1,"Kenya Population and Housing Census, 2019"
level_of_formality_ke,KE,https://open.africa/dataset/2019-kenya-population-and-housing-census,"Kenya Population and Housing Census, 2019"
prevalence_of_hiv_ages_15_to_49_ke,KE,https://open.africa/dataset/africa-hiv-prevalence-geospatial-estimates-2000-2017,"Institute for Health Metrics and Evaluation (IHME), 2017"
prevalence_of_tb_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/e9e723f8-d674-4261-a23a-53d7f0771351,"Kenya Integrated Household Budget Survey, 2016"
prevalence_of_heart_problem_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/44da62a0-cf7b-40c7-ba07-05035b794fb3,"Kenya Integrated Household Budget Survey, 2016"
prevalence_of_diabetes_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/d5ed58b9-ce88-4e88-9e14-847ac8a77f08,"Kenya Integrated Household Budget Survey, 2016"
prevalence_of_respiratory_infection_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/11feb6d9-5a0c-433e-99e7-c7059d7f89fb,"Kenya Integrated Household Budget Survey, 2016"
percent_of_individuals_below_poverty_line_ke,KE,https://open.africa/dataset/exploring-kenya-inequality-national-report-2017/resource/90e440f3-bbee-416b-a2a5-454d9df9d8ad,"Exploring Kenya Inequality National Report, 2017"
prevalence_of_handwashing_near_the_toilet_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/4cf6156d-515b-4d4f-8fdf-3f2dd301ae88,"Kenya Integrated Household Budget Survey, 2016"
number_of_hospital_beds_ke,KE,https://open.africa/dataset/kenya-master-health-facility-list-2020/resource/38b72113-8cd5-40b2-960d-1baefd32c8f1,"Kenya Master Health Facility List, 2020"
type_of_health_provider_visited_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/f7a80bc0-84e9-474d-a922-e4662f7e4bc7,"Kenya Integrated Household Budget Survey, 2016"
population_that_received_free_medical_services_ke,KE,https://open.africa/dataset/kenya-integrated-household-budget-survey-2016/resource/4492472d-62b3-4721-8bb9-dd51bb5e960d,"Kenya Integrated Household Budget Survey, 2016"
health_insurance_provider_ke,KE,,"Kenya Integrated Household Budget Survey, 2016"
global_health_security_index,KE,https://open.africa/dataset/kenya-global-health-security-index-2019/resource/40867c01-f222-4dbf-be0d-4d00940ebf0e,"Global Health Security Index, 2019"
