table_name,country_code,link,title
handwashing_prevalence_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/f24227a5-0f6f-4fae-84f6-53515a24f526,"Nigeria Demographic and Health Survey, 2018"
handwashing_prev_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/f24227a5-0f6f-4fae-84f6-53515a24f526,"Nigeria Demographic and Health Survey, 2018"
access_to_improved_water_source_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5d566ac3-5b8f-4b5c-9829-54d70781c9b7,"Nigeria Demographic and Health Survey, 2018"
access_to_improved_water_source_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5d566ac3-5b8f-4b5c-9829-54d70781c9b7,"Nigeria Demographic and Health Survey, 2018"
access_to_improved_toilet_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/c57546ee-d175-4efd-95e3-5fdd53a0e996,"Nigeria Demographic and Health Survey, 2018"
access_to_improved_toilet_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/c57546ee-d175-4efd-95e3-5fdd53a0e996,"Nigeria Demographic and Health Survey, 2018"
time_to_water_source_roundtrip_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/79c38e2f-ff44-4f38-93a9-18f49567dd6b,"Nigeria Demographic and Health Survey, 2018"
time_to_water_source_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/79c38e2f-ff44-4f38-93a9-18f49567dd6b,"Nigeria Demographic and Health Survey, 2018"
main_source_of_water_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5d566ac3-5b8f-4b5c-9829-54d70781c9b7,"Nigeria Demographic and Health Survey, 2018"
main_source_of_water_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5d566ac3-5b8f-4b5c-9829-54d70781c9b7,"Nigeria Demographic and Health Survey, 2018"
type_of_toilet_facility_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/c57546ee-d175-4efd-95e3-5fdd53a0e996,"Nigeria Demographic and Health Survey, 2018"
type_of_toilet_facility_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/c57546ee-d175-4efd-95e3-5fdd53a0e996,"Nigeria Demographic and Health Survey, 2018"
handwashing_type_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/7d6a6702-a1ba-4d26-a0eb-54dcf5248c6f,"Nigeria Demographic and Health Survey, 2018"
handwashing_type_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/7d6a6702-a1ba-4d26-a0eb-54dcf5248c6f,"Nigeria Demographic and Health Survey, 2018"
access_to_electricity_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5f1d945d-5fb1-4dac-9e5b-4c6cc75cf0b8,"Nigeria Demographic and Health Survey, 2018"
access_to_electricity_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/5f1d945d-5fb1-4dac-9e5b-4c6cc75cf0b8,"Nigeria Demographic and Health Survey, 2018"
people_sleeping_per_room_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/0c516031-0da2-4331-81dc-08f399c7dcc6,"Nigeria Demographic and Health Survey, 2018"
people_sleeping_per_room_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/0c516031-0da2-4331-81dc-08f399c7dcc6,"Nigeria Demographic and Health Survey, 2018"
refrigerator_ownership_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/84dc8f64-394f-463f-96b3-8a0ca3bd29bf,"Nigeria Demographic and Health Survey, 2018"
refrigerator_ownership_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/84dc8f64-394f-463f-96b3-8a0ca3bd29bf,"Nigeria Demographic and Health Survey, 2018"
problems_women_face_to_access_healthcare_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/bc821451-4325-4145-bb42-87a45359d03c,"Nigeria Demographic and Health Survey, 2018"
problems_women_face_to_access_healthcare_urbanr_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/bc821451-4325-4145-bb42-87a45359d03c,"Nigeria Demographic and Health Survey, 2018"
health_insurance_provider_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/81647247-56b8-4a36-ad9f-ba063a4c7cbc,"Nigeria Demographic and Health Survey, 2018"
health_insurance_provider_urbanrural_ng,NG,https://open.africa/dataset/nigeria-demographic-and-health-survey-2018/resource/81647247-56b8-4a36-ad9f-ba063a4c7cbc,"Nigeria Demographic and Health Survey, 2018"
population_by_gender_ng,NG,https://open.africa/dataset/population-projection-2016/resource/d64f5ccb-d2b4-440e-ada2-f0f9eef92a4c,"Population Projection, 2016"
prevalence_of_hiv_ages_15_to_49_ng,NG,https://open.africa/dataset/africa-hiv-prevalence-geospatial-estimates-2000-2017,"Institute for Health Metrics and Evaluation (IHME), 2017"
